Refresh_Date,Month,Market,Key,KPI,Format,Mode,Category,YTD,Target,vs_Target,LYTD,vs_LYTD,R12M,LMR12M,vs_LMR12M,LYR12M,vs_LYR12M
2026-01-20,12 - Dec,All Markets,SLS_TTL,Total Sales,C0,CPBWSC,sales,125456789,130000000,-0.0349,111723456,0.1229,198765432,196543210,0.0113,178234567,0.1152
2026-01-20,12 - Dec,All Markets,SLS_PEN,Sales Penetration,P4,CPBWSC,sales,0.1820,0.2000,-0.0180,0.1950,-0.0130,0.1780,0.1760,0.0020,0.1890,-0.0110
2026-01-20,12 - Dec,All Markets,MBR_TTL,Transacting Members,V0,CPBWSC,members,456789,500000,-0.0864,422567,0.0810,534567,528901,0.0107,498234,0.0729
2026-01-20,12 - Dec,All Markets,MBR_NEW,New Members,V0,CPBWSC,members,146234,160000,-0.0860,118901,0.2299,178901,176234,0.0151,158901,0.1259
2026-01-20,12 - Dec,All Markets,MBR_RTN,Returning Members,V0,CPBWSC,members,310555,340000,-0.0866,303666,0.0227,355666,352667,0.0085,339333,0.0481
2026-01-20,12 - Dec,All Markets,AVG_ATF,Average Frequency,V2,CPB,behavior,2.34,2.50,-0.0640,2.28,0.0263,2.41,2.39,0.0084,2.31,0.0433
2026-01-20,12 - Dec,All Markets,AVG_AOV,Average Order Value,C0,CPB,behavior,287,295,-0.0271,276,0.0399,291,289,0.0069,281,0.0356
2026-01-20,12 - Dec,All Markets,PCT_RDM,Redeeming Members %,P4,CPBWSC,loyalty,0.1540,0.1800,-0.0260,0.1420,0.0120,0.1580,0.1550,0.0030,0.1380,0.0200
2026-01-20,12 - Dec,All Markets,PCT_XBP,Cross Brand Plus %,P4,CPBWSC,crossbrand,0.2340,0.2500,-0.0160,0.2130,0.0210,0.2280,0.2250,0.0030,0.2050,0.0230
2026-01-20,12 - Dec,All Markets,PCT_NBA,New Brand Adopters %,P4,CPB,crossbrand,0.0890,0.1000,-0.0110,0.0780,0.0110,0.0920,0.0900,0.0020,0.0820,0.0100
2026-01-20,12 - Dec,All Markets,AVG_BRD,Average Brands Shopped,V2,CPB,crossbrand,1.42,1.50,-0.0533,1.38,0.0290,1.45,1.43,0.0140,1.36,0.0662
2026-01-20,12 - Dec,All Markets,PTS_BRN,Points Burned Value,C0,CPB,loyalty,8234567,9000000,-0.0851,7123456,0.1560,15678901,15234567,0.0292,13456789,0.1651
2026-01-20,12 - Dec,United Arab Emirates,SLS_TTL,Total Sales,C0,CPBWSC,sales,52345678,55000000,-0.0483,45234567,0.1572,98765432,95432109,0.0349,88765432,0.1127
2026-01-20,12 - Dec,United Arab Emirates,SLS_PEN,Sales Penetration,P4,CPBWSC,sales,0.2150,0.2300,-0.0150,0.2080,0.0070,0.2100,0.2080,0.0020,0.2020,0.0080
2026-01-20,12 - Dec,United Arab Emirates,MBR_TTL,Transacting Members,V0,CPBWSC,members,178234,190000,-0.0619,165432,0.0774,212345,209876,0.0118,198765,0.0683
2026-01-20,12 - Dec,United Arab Emirates,MBR_NEW,New Members,V0,CPBWSC,members,58901,62000,-0.0500,48234,0.2212,72345,71234,0.0156,65432,0.1057
2026-01-20,12 - Dec,United Arab Emirates,MBR_RTN,Returning Members,V0,CPBWSC,members,119333,128000,-0.0677,117198,0.0182,140000,138642,0.0098,133333,0.0500
2026-01-20,12 - Dec,United Arab Emirates,AVG_ATF,Average Frequency,V2,CPB,behavior,2.45,2.60,-0.0577,2.38,0.0294,2.52,2.49,0.0120,2.42,0.0413
2026-01-20,12 - Dec,United Arab Emirates,AVG_AOV,Average Order Value,C0,CPB,behavior,312,320,-0.0250,298,0.0470,318,315,0.0095,305,0.0426
2026-01-20,12 - Dec,United Arab Emirates,PCT_RDM,Redeeming Members %,P4,CPBWSC,loyalty,0.1680,0.1900,-0.0220,0.1520,0.0160,0.1720,0.1690,0.0030,0.1480,0.0240
2026-01-20,12 - Dec,United Arab Emirates,PCT_XBP,Cross Brand Plus %,P4,CPBWSC,crossbrand,0.2830,0.3000,-0.0170,0.2540,0.0290,0.2780,0.2740,0.0040,0.2450,0.0330
2026-01-20,12 - Dec,United Arab Emirates,PCT_NBA,New Brand Adopters %,P4,CPB,crossbrand,0.1020,0.1100,-0.0080,0.0890,0.0130,0.1050,0.1020,0.0030,0.0920,0.0130
2026-01-20,12 - Dec,United Arab Emirates,AVG_BRD,Average Brands Shopped,V2,CPB,crossbrand,1.52,1.60,-0.0500,1.45,0.0483,1.55,1.53,0.0131,1.44,0.0764
2026-01-20,12 - Dec,United Arab Emirates,PTS_BRN,Points Burned Value,C0,CPB,loyalty,3456789,3800000,-0.0903,2987654,0.1571,6543210,6321098,0.0352,5654321,0.1572
2026-01-20,12 - Dec,Saudi Arabia,SLS_TTL,Total Sales,C0,CPBWSC,sales,38123456,42000000,-0.0923,40234567,-0.0524,72345678,73456789,-0.0151,68765432,0.0521
2026-01-20,12 - Dec,Saudi Arabia,SLS_PEN,Sales Penetration,P4,CPBWSC,sales,0.1620,0.1800,-0.0180,0.1780,-0.0160,0.1580,0.1600,-0.0020,0.1720,-0.0140
2026-01-20,12 - Dec,Saudi Arabia,MBR_TTL,Transacting Members,V0,CPBWSC,members,145678,160000,-0.0895,148901,-0.0216,172345,175432,-0.0176,165432,0.0418
2026-01-20,12 - Dec,Saudi Arabia,MBR_NEW,New Members,V0,CPBWSC,members,45678,52000,-0.1216,42345,0.0787,54321,55432,-0.0200,51234,0.0602
2026-01-20,12 - Dec,Saudi Arabia,MBR_RTN,Returning Members,V0,CPBWSC,members,100000,108000,-0.0741,106556,-0.0615,118024,120000,-0.0165,114198,0.0335
2026-01-20,12 - Dec,Saudi Arabia,AVG_ATF,Average Frequency,V2,CPB,behavior,2.21,2.35,-0.0596,2.25,-0.0178,2.28,2.30,-0.0087,2.22,0.0270
2026-01-20,12 - Dec,Saudi Arabia,AVG_AOV,Average Order Value,C0,CPB,behavior,265,275,-0.0364,272,-0.0257,270,272,-0.0074,268,0.0075
2026-01-20,12 - Dec,Saudi Arabia,PCT_RDM,Redeeming Members %,P4,CPBWSC,loyalty,0.1380,0.1600,-0.0220,0.1450,-0.0070,0.1420,0.1440,-0.0020,0.1400,0.0020
2026-01-20,12 - Dec,Saudi Arabia,PCT_XBP,Cross Brand Plus %,P4,CPBWSC,crossbrand,0.1850,0.2200,-0.0350,0.1980,-0.0130,0.1820,0.1850,-0.0030,0.1920,-0.0100
2026-01-20,12 - Dec,Saudi Arabia,PCT_NBA,New Brand Adopters %,P4,CPB,crossbrand,0.0720,0.0900,-0.0180,0.0750,-0.0030,0.0780,0.0790,-0.0010,0.0780,0.0000
2026-01-20,12 - Dec,Saudi Arabia,AVG_BRD,Average Brands Shopped,V2,CPB,crossbrand,1.32,1.42,-0.0704,1.35,-0.0222,1.34,1.35,-0.0074,1.33,0.0075
2026-01-20,12 - Dec,Saudi Arabia,PTS_BRN,Points Burned Value,C0,CPB,loyalty,2345678,2800000,-0.1623,2567890,-0.0865,4567890,4678901,-0.0237,4234567,0.0787
2026-01-20,12 - Dec,Kuwait,SLS_TTL,Total Sales,C0,CPBWSC,sales,21456789,22000000,-0.0247,19876543,0.0795,42345678,41234567,0.0270,38765432,0.0924
2026-01-20,12 - Dec,Kuwait,SLS_PEN,Sales Penetration,P4,CPBWSC,sales,0.1750,0.1850,-0.0100,0.1680,0.0070,0.1720,0.1700,0.0020,0.1650,0.0070
2026-01-20,12 - Dec,Kuwait,MBR_TTL,Transacting Members,V0,CPBWSC,members,78901,82000,-0.0378,72345,0.0906,92345,91234,0.0122,86543,0.0670
2026-01-20,12 - Dec,Kuwait,MBR_NEW,New Members,V0,CPBWSC,members,24567,26000,-0.0551,21234,0.1570,29876,29234,0.0220,27654,0.0804
2026-01-20,12 - Dec,Kuwait,MBR_RTN,Returning Members,V0,CPBWSC,members,54334,56000,-0.0297,51111,0.0631,62469,62000,0.0076,58889,0.0608
2026-01-20,12 - Dec,Kuwait,AVG_ATF,Average Frequency,V2,CPB,behavior,2.38,2.45,-0.0286,2.32,0.0259,2.42,2.40,0.0083,2.35,0.0298
2026-01-20,12 - Dec,Kuwait,AVG_AOV,Average Order Value,C0,CPB,behavior,298,305,-0.0230,287,0.0383,302,300,0.0067,292,0.0342
2026-01-20,12 - Dec,Kuwait,PCT_RDM,Redeeming Members %,P4,CPBWSC,loyalty,0.1620,0.1750,-0.0130,0.1480,0.0140,0.1660,0.1640,0.0020,0.1520,0.0140
2026-01-20,12 - Dec,Kuwait,PCT_XBP,Cross Brand Plus %,P4,CPBWSC,crossbrand,0.2120,0.2350,-0.0230,0.1980,0.0140,0.2080,0.2050,0.0030,0.1920,0.0160
2026-01-20,12 - Dec,Kuwait,PCT_NBA,New Brand Adopters %,P4,CPB,crossbrand,0.0850,0.0950,-0.0100,0.0780,0.0070,0.0880,0.0860,0.0020,0.0800,0.0080
2026-01-20,12 - Dec,Kuwait,AVG_BRD,Average Brands Shopped,V2,CPB,crossbrand,1.38,1.45,-0.0483,1.34,0.0299,1.40,1.39,0.0072,1.33,0.0526
2026-01-20,12 - Dec,Kuwait,PTS_BRN,Points Burned Value,C0,CPB,loyalty,1456789,1600000,-0.0895,1234567,0.1800,2876543,2812345,0.0228,2567890,0.1202
2026-01-20,12 - Dec,Bahrain,SLS_TTL,Total Sales,C0,CPBWSC,sales,13530866,11000000,0.2301,6377879,1.1217,25308642,24876543,0.0174,21938271,0.1537
2026-01-20,12 - Dec,Bahrain,SLS_PEN,Sales Penetration,P4,CPBWSC,sales,0.1980,0.1750,0.0230,0.1720,0.0260,0.1920,0.1880,0.0040,0.1680,0.0240
2026-01-20,12 - Dec,Bahrain,MBR_TTL,Transacting Members,V0,CPBWSC,members,53976,68000,-0.2062,35889,0.5039,57532,52359,0.0988,47494,0.2113
2026-01-20,12 - Dec,Bahrain,MBR_NEW,New Members,V0,CPBWSC,members,17088,22000,-0.2233,7088,1.4108,21359,20334,0.0504,15581,0.3709
2026-01-20,12 - Dec,Bahrain,MBR_RTN,Returning Members,V0,CPBWSC,members,36888,46000,-0.1981,28801,0.2808,36173,32025,0.1295,31913,0.1335
2026-01-20,12 - Dec,Bahrain,AVG_ATF,Average Frequency,V2,CPB,behavior,2.52,2.55,-0.0118,2.35,0.0723,2.58,2.54,0.0157,2.40,0.0750
2026-01-20,12 - Dec,Bahrain,AVG_AOV,Average Order Value,C0,CPB,behavior,265,270,-0.0185,245,0.0816,272,268,0.0149,258,0.0543
2026-01-20,12 - Dec,Bahrain,PCT_RDM,Redeeming Members %,P4,CPBWSC,loyalty,0.1720,0.1850,-0.0130,0.1380,0.0340,0.1760,0.1720,0.0040,0.1420,0.0340
2026-01-20,12 - Dec,Bahrain,PCT_XBP,Cross Brand Plus %,P4,CPBWSC,crossbrand,0.2450,0.2600,-0.0150,0.2020,0.0430,0.2400,0.2350,0.0050,0.1980,0.0420
2026-01-20,12 - Dec,Bahrain,PCT_NBA,New Brand Adopters %,P4,CPB,crossbrand,0.0980,0.1050,-0.0070,0.0720,0.0260,0.1020,0.0980,0.0040,0.0750,0.0270
2026-01-20,12 - Dec,Bahrain,AVG_BRD,Average Brands Shopped,V2,CPB,crossbrand,1.48,1.52,-0.0263,1.38,0.0725,1.50,1.48,0.0135,1.36,0.1029
2026-01-20,12 - Dec,Bahrain,PTS_BRN,Points Burned Value,C0,CPB,loyalty,975311,800000,0.2191,333345,1.9267,1691258,1422223,0.1892,1000001,0.6913